ModelName,Accuracy,Precision,Recall,FScore
Logistic,0.7988826815642458,0.7166666666666667,0.6935483870967742,0.7049180327868854
DecisionTree,0.7932960893854749,0.711864406779661,0.6774193548387096,0.6942148760330579
RandomForest,0.8100558659217877,0.7413793103448276,0.6935483870967742,0.7166666666666668
NaiveBayes,0.7653631284916201,0.65625,0.6774193548387096,0.6666666666666667
